id,name,category,latitude,longitude
118,7-Eleven,Food,37.6516405,-77.6167094
119,New Market Park,Food,37.4282884,-77.3263224
120,Kenway Express,Food,37.5465842,-77.3665271
121,Walmart Supercenter,Food,37.5445939,-77.3639627
122,,Food,37.5463792,-77.3632183
123,Wawa,Food,37.591777,-77.5052994
124,Tan A Supermarket,Food,37.5949179,-77.5106712
125,,Food,37.6099476,-77.5138022
126,Wegmans,Food,37.6632417,-77.63524
127,Publix,Food,37.6839596,-77.5865194
128,Wawa,Food,37.5916971,-77.4926415
129,ALDI,Food,37.6375805,-77.5109514
130,Walmart Supercenter,Food,37.6029578,-77.5220782
131,New Grand Mart,Food,37.6343176,-77.5490282
132,West Broad Marketplace,Food,37.6630208,-77.6373618
133,Aldi,Food,37.6621756,-77.6439012
134,Fas Mart,Food,37.6836558,-77.5885678
135,Union First Market,Food,37.6775216,-77.5858154
136,Saint Martins Episcopal Church,Food,37.6320879,-77.5470561
137,Fas Mart,Food,37.6018895,-77.4233517
138,Ukrop's Market Hall,Food,37.5929529,-77.5339538
139,,Food,37.5920954,-77.5322138
140,7-Eleven,Food,37.6217076,-77.5284384
141,New Market Road,Food,37.458048,-77.375477
142,Varina Market,Food,37.4517353,-77.2997922
143,Horizon Food Store,Food,37.4455555,-77.231051
144,Parkside Marketplace,Food,37.6457178,-77.5825551
145,Staples Mill Marketplace,Food,37.6385073,-77.5151118
146,Lidl,Food,37.5803772,-77.4897621
147,Food Lion,Food,37.598952,-77.6220617
148,Food Lion,Food,37.6379156,-77.6322437
149,Sheetz,Food,37.6098732,-77.52006
150,Lucky Mart,Food,37.6270077,-77.5046218
151,Lidl,Food,37.6260767,-77.5031291
152,Roy's Express Mart,Food,37.6191824,-77.4996001
153,Fas Mart,Food,37.6656879,-77.6143766
154,7-Eleven,Food,37.5746406,-77.3982664
155,Stuart's Fresh Catch,Food,37.5590812,-77.4084897
156,,Food,37.5580394,-77.4078219
157,River City Market,Food,37.5537805,-77.4109014
158,,Food,37.6203642,-77.6112523
159,Valero,Food,37.59553,-77.5138772
160,7-Eleven,Food,37.5955224,-77.5142733
161,Queen Tea New Orleans Seafood,Food,37.5952075,-77.5155295
162,,Food,37.5942237,-77.56693
163,,Food,37.6078266,-77.5781291
164,7-Eleven,Food,37.5969057,-77.5937279
165,Aldi,Food,37.6098095,-77.5647096
166,7-Eleven,Food,37.6164197,-77.4712404
167,Fas Mart,Food,37.6060345,-77.4682282
168,Lakeside Corner Mart,Food,37.6010075,-77.4665978
169,7-Eleven,Food,37.6402166,-77.5583497
170,Supreme Flea Market,Food,37.5213572,-77.366378
171,New Market Deli,Food,37.4896407,-77.4023814
172,7-Eleven,Food,37.5197923,-77.3031024
173,,Food,37.533727,-77.3624937
174,Wawa,Food,37.5619443,-77.3768027
175,Fresh Wok,Food,37.5482059,-77.35964
176,Azalea Food Market & Deli,Food,37.6025794,-77.425047
177,International Market and Bakery,Food,37.6089606,-77.4484041
178,Super 8,Food,37.609756,-77.4459993
179,Express,Food,37.6092587,-77.4482796
180,,Food,37.5851493,-77.4213682
181,Royal Mart,Food,37.5849839,-77.4304536
182,7-Eleven,Food,37.5844735,-77.4350036
183,,Food,37.6024144,-77.4530848
184,Wawa,Food,37.6046092,-77.4538994
185,Tracs,Food,37.6414565,-77.4935131
186,Mega Mart,Food,37.6502165,-77.4692029
187,Mountain Express,Food,37.6511073,-77.4684989
188,7-Eleven,Food,37.6422631,-77.4932357
189,Dash In,Food,37.6078986,-77.4943296
190,7-Eleven,Food,37.5243951,-77.3275129
191,Fas Mart,Food,37.5213734,-77.3048113
192,Lucky Mart,Food,37.5221438,-77.3089765
193,Fas Mart,Food,37.5438386,-77.3089019
194,7-Eleven,Food,37.5373458,-77.3188961
195,7-Eleven,Food,37.4891221,-77.4033055
196,New Market Veterinary Clinic,Food,37.4473854,-77.3570818
197,New Market Sewer Pumping Station,Food,37.4582414,-77.3793694
198,Super 8,Food,37.6128387,-77.5202836
199,El Jardin Latino Market,Food,37.6271047,-77.5317269
200,Shell,Food,37.5106,-77.2412936
201,Fas-Mart,Food,37.5093856,-77.2396369
202,,Food,37.5204284,-77.3315473
203,,Food,37.5184621,-77.3424507
204,7-Eleven,Food,37.5184357,-77.3432337
205,Super 8,Food,37.5182013,-77.3436223
206,Varina Corner Mart & Vape Shop,Food,37.4336778,-77.3301764
207,Danco Mini-Mart,Food,37.518402,-77.3682853
208,7-Eleven,Food,37.5171809,-77.3517162
209,Lidl,Food,37.5153514,-77.3503649
210,Wawa,Food,37.5121044,-77.3489129
211,Citgo,Food,37.5179929,-77.3729199
212,Walmart Supercenter,Food,37.6311323,-77.4566976
213,Wawa,Food,37.5245861,-77.3292331
214,Corner Mart,Food,37.5180457,-77.3787363
215,Generator Supercenter of Richmond,Food,37.6436379,-77.5663253
216,Sheetz,Food,37.6406,-77.5718796
217,New Market Road,Food,37.4535139,-77.3694249
218,Saint Martins Trail,Food,37.6319865,-77.5500401
219,7-Eleven,Food,37.6220253,-77.5275998
220,Virginia Center Marketplace,Food,37.6738399,-77.4628426
221,New Market Road,Food,37.4054973,-77.2652475
222,Sheetz,Food,37.5232826,-77.3293573
223,Wawa,Food,37.6126307,-77.5638407
224,New Market Village,Food,37.4829635,-77.3618898
225,Dorey Farmer's Market,Food,37.4684076,-77.3367662
226,Farmer's Market Pavilion,Food,37.4686555,-77.3366939
227,,Food,37.544266,-77.3890798
228,Freshet Court,Food,37.5024129,-77.3948947
229,New Market Road,Food,37.3909206,-77.2438473
230,Red River Foods,Food,37.4963453,-77.3434391
231,Martin Metalfab,Food,37.5036053,-77.3401798
232,Dean Foods Company,Food,37.5302372,-77.3085401
233,7-Eleven,Food,37.5621173,-77.3749572
234,Tesla Supercharger,Food,37.5298213,-77.3538791
235,New Market Road,Food,37.4637547,-77.3811481
236,New Market Road,Food,37.4679783,-77.3853764
237,New Market Road,Food,37.4684134,-77.3858977
238,New Market Road,Food,37.4695868,-77.3873067
239,New Market Road,Food,37.4692938,-77.3869635
240,New Market Road,Food,37.4689819,-77.3865848
241,New Market Road,Food,37.4424042,-77.3461848
242,New Market Road,Food,37.4426075,-77.3467535
243,New Market Road,Food,37.4436308,-77.3495906
244,New Market Road,Food,37.4446854,-77.3524664
245,New Market Road,Food,37.4445822,-77.3522034
246,Royal Farms,Food,37.5592953,-77.4072754
247,New Market Road,Food,37.4393852,-77.3399935
248,New Market Road,Food,37.4464417,-77.3568298
249,New Market Road,Food,37.466798,-77.3841294
250,New Market Road,Food,37.4885273,-77.4010513
251,New Market Road,Food,37.4856123,-77.3977749
252,New Market Road,Food,37.4548298,-77.3720692
253,New Market Road,Food,37.454648,-77.3717058
254,New Market Road,Food,37.4543969,-77.3711812
